book_id,title,authors,average_rating,num_of_pages,ratings_count,text_reviews_count,publisher,ratings_dist,indices,distance
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,6,1266,253,Random House Audio,4,"[10, 5900, 3660, 2359, 819, 9648]","[0.0, 78.82281459070083, 94.85270739414874, 118.34274333477317, 121.7374239911458, 128.8254695314556]"
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,2877,195,Wings Books,4,"[11, 2814, 91, 5215, 5644, 2934]","[0.0, 92.75236331220891, 119.20196684618924, 133.07146350739515, 142.98646649246214, 149.40568128421356]"
21,A Short History of Nearly Everything,Bill Bryson,4.21,544,248558,9396,Broadway Books,4,"[12, 2648, 3062, 2950, 152, 8]","[0.0, 1173.705675244011, 2820.4037002528557, 3824.6182868359556, 4575.683346135307, 5416.022251514482]"
22,Bill Bryson's African Diary,Bill Bryson,3.44,55,7270,499,Broadway Books,3,"[13, 3029, 10631, 3217, 9389, 2905]","[0.0, 88.97280483383672, 89.07516152104357, 100.45416865416786, 116.64102880204719, 184.30684848914325]"
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,256,2088,131,Broadway Books,3,"[14, 782, 9142, 187, 8260, 8862]","[0.0, 39.370364489041755, 47.35077718475168, 47.4552800012812, 49.16462142638749, 49.44738719083143]"
24,In a Sunburned Country,Bill Bryson,4.07,335,72451,4245,Broadway Books,4,"[15, 4922, 568, 10746, 5171, 4735]","[0.0, 715.7786027117603, 1144.288004000741, 1416.7815842958998, 1714.889519036139, 1771.016144731606]"
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,304,49240,2211,Broadway Books,3,"[16, 18, 8425, 5919, 1111, 5397]","[0.0, 541.9870861930199, 577.1256584141793, 578.0916885754369, 683.7499754296157, 758.2677817895207]"
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,299,45712,2257,William Morrow Paperbacks,3,"[17, 4667, 4625, 1878, 5096, 2947]","[0.0, 375.40781678063126, 563.1980340874779, 574.5781695296124, 605.8680466900363, 717.7507116680554]"
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,254,48701,2238,William Morrow Paperbacks,3,"[18, 16, 1111, 3080, 5919, 8425]","[0.0, 541.9870861930199, 644.3244655451165, 747.4556875828828, 854.2025541989441, 862.0081438130385]"
28,Notes from a Small Island,Bill Bryson,3.91,324,80609,3301,William Morrow Paperbacks,3,"[19, 5122, 3251, 8734, 8132, 4929]","[0.0, 261.7232372182493, 923.271368341941, 1034.7362260982263, 1215.1526694205959, 1249.125711888119]"
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,270,28489,2085,William Morrow Paperbacks,3,"[20, 9968, 6766, 9581, 6901, 5132]","[0.0, 252.87782346421758, 343.0146540601436, 350.1171234030121, 648.6223993202825, 662.5171913995893]"
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,1728,101233,1550,Ballantine Books,4,"[21, 1816, 2552, 1660, 3631, 1053]","[0.0, 1523.2193461218908, 1637.5212025802903, 1996.4354835556294, 2643.714469000009, 2648.6020889518304]"
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,1184,1710,91,Houghton Mifflin Harcourt,4,"[22, 648, 24, 3403, 2650, 188]","[0.0, 54.40758127320126, 109.03669107231748, 135.01570316078053, 143.97916550668015, 159.52742710894574]"
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,398,2128944,13670,Houghton Mifflin Harcourt,4,"[23, 2114, 1, 0, 2116, 4415]","[0.0, 23493.27270060304, 28789.06240253232, 36051.17575120262, 93112.04392269778, 166352.6317615793]"
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,1216,1618,140,Houghton Mifflin Harcourt,4,"[24, 3539, 22, 188, 648, 3403]","[0.0, 94.83708610032258, 109.03669107231748, 113.03096920755833, 123.0982733428865, 189.34159632790676]"
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,218,19822,46,Houghton Mifflin Harcourt,4,"[25, 10756, 867, 8435, 3885, 3941]","[0.0, 111.59303920944173, 127.00004763778634, 269.0564938818612, 375.995083079553, 426.68620272982815]"
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,224,359,6,Houghton Mifflin Harcourt,4,"[26, 9097, 3722, 9124, 1042, 8717]","[0.0, 6.802234926845735, 16.522956757190887, 17.804631419942396, 21.122888060111478, 22.23475657613548]"
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,558,1430,59,Pragmatic Bookshelf,3,"[27, 3340, 7462, 9421, 3048, 592]","[0.0, 62.53133694396754, 69.6711769672366, 72.70490010996508, 78.65190716060228, 83.03043357709268]"
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,208,270244,12017,Atheneum Books for Young Readers: Richard Jackson Books,3,"[28, 4149, 658, 571, 4127, 3629]","[0.0, 1528.2019369180239, 2518.7758976336104, 6525.328882102419, 6647.233559910468, 6813.2657462923025]"
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,48,36,2,Teacher Created Resources,3,"[29, 1312, 7975, 8841, 2419, 2111]","[0.0, 1.484082207965583, 3.0088037490005894, 4.711008384624251, 8.545501740682052, 8.775015669501679]"
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,144,2067,334,Delacorte Press,3,"[30, 2689, 1091, 10568, 5908, 175]","[0.0, 104.80935120493781, 125.75442894785058, 127.90287096074114, 134.50655894788179, 140.41380309641926]"
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,56,6,0,Cherry Lane Music Company,4,"[31, 6617, 5593, 7305, 6247, 304]","[0.0, 2.550313706193809, 3.215027216058987, 3.745517320744893, 4.177188049393994, 4.334985582444307]"
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,228,99,16,The New Press,3,"[32, 7579, 9965, 144, 8946, 11061]","[0.0, 4.745355624186663, 8.317746088935392, 9.019977827023745, 10.562315087138805, 10.954469407506691]"
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,304,167,4,Changeling Press,3,"[33, 2640, 10636, 10616, 10652, 7005]","[0.0, 7.681464704078253, 8.672462164806486, 10.347101043287438, 11.875706294785164, 12.6496798378457]"
58,Changeling (Changeling  #1),Delia Sherman,3.6,256,978,111,Viking Juvenile,3,"[34, 10463, 1080, 3190, 5913, 4374]","[0.0, 26.852903008799625, 30.282067300631905, 33.61585340282171, 34.32495447921235, 35.97421854606435]"
59,The Changeling Sea,Patricia A. McKillip,4.06,137,4454,302,Firebird,4,"[35, 4273, 257, 3113, 5723, 610]","[0.0, 20.07149471265157, 70.80964905999747, 72.80798376551846, 88.13189207091835, 90.4550855397307]"
61,The Changeling,Zilpha Keatley Snyder,4.17,228,1176,96,iUniverse,4,"[36, 4979, 860, 425, 5527, 1859]","[0.0, 24.269396366617773, 34.39598959181143, 36.47930372142538, 38.930419982322306, 39.77919556753253]"
63,The Changeling,Kate Horsley,3.55,339,301,43,Shambhala,3,"[37, 10907, 7972, 5679, 101, 7298]","[0.0, 13.979359785054536, 17.950253480104397, 19.74953417172162, 20.471270112037505, 21.049171005053857]"
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,369,345,12,Ivy Books,3,"[38, 10199, 3879, 9901, 9514, 697]","[0.0, 18.0292234996408, 19.08029349879084, 21.144502831705456, 22.15854011436674, 22.405499324942525]"
67,The Known World,Edward P. Jones,3.83,388,29686,2626,Amistad,3,"[39, 4884, 8120, 179, 2930, 5132]","[0.0, 416.8525121670733, 533.4773937103614, 608.3362823307517, 650.6344288461839, 725.6893308434402]"
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,14,55,12,HarperAudio,3,"[40, 4794, 5799, 6209, 2853, 6187]","[0.0, 2.2417850030723283, 3.8887658710701523, 4.261455150532504, 4.3622127412587295, 6.403155472109044]"
69,The Known World,Edward P. Jones,3.83,576,22,3,Harper,3,"[41, 6970, 9366, 7871, 1828, 9482]","[0.0, 3.1668438546919235, 4.248340852615289, 4.362613895361358, 4.47402503345701, 8.006397442045955]"
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,334,1456,82,FT Press,3,"[42, 6336, 7167, 5203, 3573, 10626]","[0.0, 12.328844228069395, 20.641281452468014, 22.783362350627705, 24.16619332869784, 26.981504776420458]"
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,352,52,4,Archaia,4,"[43, 654, 6827, 8304, 8783, 10831]","[0.0, 1.425622670975739, 1.42828568570857, 2.4632498858215746, 2.6027677575995902, 5.9]"
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,416,562,37,Farrar  Straus and Giroux,4,"[44, 10709, 1115, 5489, 2636, 10369]","[0.0, 16.03781780667183, 19.833920439489518, 21.56669886653959, 21.654597664237496, 21.723756581217717]"
75,Uncommon Carriers,John McPhee,3.95,248,1630,203,Farrar Straus Giroux,3,"[45, 4013, 1162, 9915, 5912, 1023]","[0.0, 57.9407421422957, 60.506250916744136, 62.04852617105422, 63.15929147797654, 67.5870705090848]"
76,Heirs of General Practice,John McPhee,4.17,128,268,22,Farrar  Straus and Giroux,4,"[46, 8238, 10517, 9826, 530, 7011]","[0.0, 8.127582666451323, 8.944629673720428, 13.504521465050141, 16.310024524812953, 17.493087206093726]"
77,The Control of Nature,John McPhee,4.24,288,3498,305,Farrar  Straus and Giroux,4,"[47, 3416, 7550, 3808, 3815, 6650]","[0.0, 29.189534083297733, 52.35649434406395, 53.25532461641747, 58.16500752170501, 61.567186065305926]"
78,Annals of the Former World,John McPhee,4.34,720,3115,228,Farrar  Straus and Giroux,4,"[48, 5644, 5414, 8083, 9229, 1872]","[0.0, 125.44760818764142, 142.84621101030297, 157.35653275285395, 162.23775762750174, 176.9126137391]"
79,Coming Into the Country,John McPhee,4.22,448,5704,261,Farrar  Straus and Giroux,4,"[49, 7123, 7025, 9703, 4137, 4764]","[0.0, 42.46273778267247, 47.446147367304754, 51.078688315186795, 72.14611909174324, 78.75342786190325]"
80,La Place de la Concorde Suisse,John McPhee,3.92,160,698,52,Farrar  Straus and Giroux,3,"[50, 9534, 468, 5951, 4363, 10555]","[0.0, 8.602325267042627, 17.86085104355333, 18.58117595848013, 19.39074263662947, 25.828325536124094]"
81,Giving Good Weight,John McPhee,4.23,288,542,36,Farrar  Straus and Giroux,4,"[51, 5246, 483, 9848, 6136, 6049]","[0.0, 14.899677848866398, 14.901932760551565, 19.59683903082331, 20.25539187475769, 21.30761366272629]"
83,Rising from the Plains,John McPhee,4.23,208,1341,98,Farrar  Straus and Giroux,4,"[52, 4242, 1116, 3079, 136, 2876]","[0.0, 26.98166043815688, 29.293277385775735, 36.75835143202154, 37.55079892625455, 40.80825406703894]"
85,The Heidi Chronicles,Wendy Wasserstein,3.75,81,1423,70,Dramatists Play Service,3,"[53, 8616, 2089, 3164, 5342, 1690]","[0.0, 13.454965626117371, 41.63070501444817, 50.11312103631144, 53.17944057622269, 56.04468217413674]"
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,249,2766,64,Vintage,3,"[54, 9255, 7000, 6978, 236, 3420]","[0.0, 41.79806694094836, 46.91502531172716, 47.71302652316241, 53.07565920457324, 56.05367427742806]"
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,138,31,1,Routledge,3,"[55, 7293, 5496, 2699, 5990, 2467]","[0.0, 2.65058484112469, 3.366957083183568, 4.123299649552528, 4.899142782160977, 6.083946087861069]"
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,128,62,4,North Light Books,3,"[56, 9311, 432, 478, 10688, 10438]","[0.0, 3.0203476621077914, 3.7425125250291416, 4.366062299143245, 5.297405025104273, 5.881572918871278]"
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,192,860,53,Chosen Books,4,"[57, 4375, 6272, 8884, 1206, 6844]","[0.0, 11.049710403444971, 22.5632976313304, 24.37216650197516, 27.518175811634027, 29.489389617284385]"
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,108,77,2,Association for Supervision & Curriculum Development,3,"[58, 3302, 214, 8997, 7154, 6140]","[0.0, 6.725355009216986, 8.250630278954452, 10.34456378974, 11.182705397174692, 11.57946889973802]"
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,352,153317,2257,Kingfisher,3,"[59, 3559, 1548, 1017, 2860, 7725]","[0.0, 1035.6065886233052, 1685.61976806752, 1841.9861602085941, 1858.7009114970595, 2745.1908917960513]"
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,192,55,5,ASCD,3,"[60, 882, 10789, 8355, 6398, 4978]","[0.0, 1.985170017907786, 4.155767077207287, 4.290640977756121, 5.1215622616541525, 5.403933752369657]"
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,192,34,6,Sovereign World,4,"[61, 2314, 10326, 5240, 1950, 660]","[0.0, 4.002449250146715, 4.40419118567757, 4.898979485566356, 5.130779667847762, 5.277272022551045]"
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,832,11797,659,Workman Publishing Company,3,"[62, 10745, 9213, 5261, 1377, 4453]","[0.0, 230.32834041862932, 241.04170261595814, 290.62175348724327, 299.9934734290065, 315.6343225949928]"
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,123,34,8,One Hour Entertainment,3,"[63, 7337, 6250, 5352, 1485, 387]","[0.0, 4.691279143261462, 6.418224053427863, 6.70966467120377, 7.071131451189406, 7.349149610669251]"
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,128,78,4,North Light Books,3,"[64, 7094, 10689, 10790, 10515, 6140]","[0.0, 3.3239133562714898, 7.280171701271887, 7.6545999242285685, 9.43487678774874, 9.541283980681007]"
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,423,2785,166,Ace Books,3,"[65, 749, 3991, 10998, 1850, 4827]","[0.0, 23.622159088449134, 26.29056104384233, 52.93446514323159, 54.2033956500882, 55.95562885000936]"
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,436,38778,568,Ace Books,3,"[66, 1841, 7030, 4360, 10748, 1164]","[0.0, 108.04628822870316, 258.88635421744425, 282.01597135623365, 405.48860205929344, 537.3136901289599]"
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,331,97494,2359,Ace Books,3,"[67, 4589, 1549, 3704, 8191, 5726]","[0.0, 390.0025652479737, 439.7567527622515, 1271.4141757900925, 1363.3469867938977, 1456.8919070747836]"
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,592,784,21,Tor Books,4,"[68, 7172, 6000, 7383, 11119, 7817]","[0.0, 37.4982079571811, 42.1663479566348, 48.27007354458868, 55.452726713841585, 57.07044857016633]"
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,480,272,20,Putnam,3,"[69, 2634, 10645, 10451, 4593, 810]","[0.0, 3.0447331574376104, 17.03481435179145, 18.3849095727991, 20.32295500167237, 21.310488028198698]"
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,426,4789,83,Tor Science Fiction,3,"[70, 6646, 10362, 644, 4305, 6065]","[0.0, 59.75050208994063, 69.37583440939648, 86.52784291775683, 109.62666828833211, 118.68462410944393]"
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,471,45388,644,Ace Books,3,"[71, 485, 5123, 1838, 1394, 2299]","[0.0, 303.42875951366244, 506.84416105939306, 702.1830476449855, 749.5772158357003, 759.7769699721097]"
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,192,26153,102,Houghton Mifflin Harcourt,4,"[72, 2233, 6039, 8907, 10610, 2460]","[0.0, 263.3709748624552, 293.8047993141024, 497.5511796790356, 558.3713482083407, 574.7566310187295]"
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,544,69167,4551,Ballantine Books,4,"[73, 1248, 4483, 4911, 1940, 3063]","[0.0, 1141.3646190416102, 1225.782293231551, 1392.9465747113204, 1509.178415032497, 1560.872883997925]"
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,291,45,13,Delacorte Books for Young Readers,4,"[74, 7004, 5783, 824, 6118, 261]","[0.0, 9.756720760583445, 10.42700819986251, 10.441532454577729, 10.864810168613163, 11.045523980327959]"
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,256,16,1,Thomas Nelson,4,"[75, 8211, 4952, 10930, 7113, 4216]","[0.0, 1.4361406616345072, 1.506784656146989, 1.738533865071371, 2.465441136997596, 2.465441136997596]"
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,205,174,16,Wiley,3,"[76, 4787, 8247, 6642, 11006, 10866]","[0.0, 4.631295715024036, 6.695379003462015, 6.713240648151979, 7.710311277763045, 13.056124999401622]"
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,240,10,0,Heinemann Drama,3,"[77, 3371, 4892, 6504, 8396, 7744]","[0.0, 0.27, 2.236872817126624, 2.2410934831014973, 3.163858403911275, 3.173783231413261]"
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,336,76,9,William Morrow Paperbacks,3,"[78, 4792, 7036, 9214, 6809, 8704]","[0.0, 3.2031390853348842, 5.484897446625597, 5.660750833590894, 6.091173942681329, 8.61257220579311]"
133,eBay for Dummies,Marsha Collier,3.5,386,111,9,Wiley,3,"[79, 7091, 9181, 4451, 7264, 11016]","[0.0, 3.001066477104431, 3.004263636900064, 7.355433365886745, 11.002840542332693, 11.228980363327741]"
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,260,24,0,McGraw-Hill,3,"[80, 8169, 5999, 10895, 7662, 6931]","[0.0, 4.12583324917525, 4.256242474295843, 5.0, 5.101529182509887, 5.745432968889291]"
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,384,55,4,Wiley,3,"[81, 10259, 9701, 1871, 6040, 2468]","[0.0, 3.17214438511238, 3.60577314871582, 3.8011708722444983, 5.00255934497533, 6.70966467120377]"
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,260,9,0,Wiley,4,"[82, 5588, 4966, 5493, 969, 7564]","[0.0, 1.4545102268461365, 3.163858403911275, 4.242935304715357, 4.369210454990696, 4.745355624186663]"
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,391,22,1,Wiley,3,"[83, 1899, 3994, 6301, 8833, 6595]","[0.0, 2.1092415698539604, 5.624944444170094, 5.856833615529811, 6.80970630791079, 7.073358466810515]"
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,864,17,3,Wiley,3,"[84, 5060, 1110, 10995, 526, 10035]","[0.0, 8.83303458614309, 17.378380246731858, 18.632670232685385, 19.95374902117394, 20.126164562578733]"
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,873,166,4,O'Reilly Media,3,"[85, 8606, 7531, 6780, 10069, 8961]","[0.0, 23.13591147977533, 35.63840765241904, 36.211612778223504, 41.56939258637297, 49.75090049436292]"
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,240,50,5,Citadel,4,"[86, 9731, 7929, 10177, 1963, 9025]","[0.0, 1.6150541786577937, 3.366957083183568, 3.7589360196736523, 4.598304035185146, 4.6946778377222005]"
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,206,13,2,Citadel,4,"[87, 10846, 9599, 1641, 10104, 3783]","[0.0, 2.2378784596130328, 2.4547097588106013, 3.6078941226150194, 3.61564655352262, 4.127481072034128]"
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,514,64,1,O'Reilly Media,3,"[88, 3897, 8579, 6342, 1564, 8985]","[0.0, 7.3647878448737405, 10.529240238497742, 13.614260905388878, 13.659341126130498, 13.756456665871484]"
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,838,16643,1851,Penguin Classics,4,"[89, 9909, 1009, 9762, 4423, 4182]","[0.0, 532.7768388359239, 619.1986990457909, 648.8933027855967, 660.4297662128805, 686.4135290770425]"
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,960,109420,5696,Signet,4,"[90, 2945, 1691, 5763, 10278, 4777]","[0.0, 1151.8082750614358, 1487.053799463893, 1931.4176166743432, 1959.4907746912206, 1965.045080424365]"
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,837,2904,309,Penguin Books,4,"[91, 11, 2814, 5644, 9578, 5215]","[0.0, 119.20196684618924, 178.80192840123397, 184.39631476794756, 208.00737390775356, 225.7455295238424]"
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,80,16,3,Cliffs Notes,3,"[92, 5345, 10432, 3589, 6143, 5682]","[0.0, 1.7632073048850494, 2.263294059551255, 3.162419959461425, 3.745517320744893, 4.123105625617661]"
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,803,9564,726,Barnes & Noble Classics,4,"[93, 6969, 10538, 2989, 5486, 4485]","[0.0, 273.6969143048566, 278.34691465866837, 309.0423019588095, 334.4056472310239, 337.50286650634536]"
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,752,474,72,Dover Publications,4,"[94, 7203, 5198, 9979, 7101, 1353]","[0.0, 22.518794372701215, 39.44677933621451, 40.323969298669, 47.33922791934824, 54.04632179899017]"
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,803,303,48,Barnes & Noble,4,"[95, 3167, 4034, 6405, 398, 1734]","[0.0, 35.3844259526702, 42.48586117757294, 43.46329025741149, 45.11101417614106, 49.174018546382804]"
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,360,411,65,Mira Books,2,"[96, 1589, 168, 3733, 9557, 9194]","[0.0, 25.48271767296416, 26.724400835191798, 27.548882009983636, 29.611592324628543, 31.591137997862628]"
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,128,1204,33,Cambridge University Press,4,"[97, 7661, 9633, 3568, 11003, 9828]","[0.0, 45.14709403715814, 49.68906922050362, 54.41520375777343, 56.82439704915486, 59.085843482174305]"
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,160,3429,279,Penguin Books,3,"[98, 8172, 10679, 1512, 6535, 3347]","[0.0, 32.650208268861014, 41.322482984448065, 56.73713422442131, 59.45134481237577, 72.31232882434364]"
163,The Untouchable,John Banville,3.95,367,2163,216,Vintage,3,"[99, 7196, 6594, 6122, 10183, 5114]","[0.0, 16.524046114677844, 30.822785403009895, 46.18498565551363, 54.046543830295015, 60.09180975806936]"
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,256,613,31,Buccaneer Books,3,"[100, 5106, 6554, 3205, 6913, 4662]","[0.0, 12.84523647115926, 22.113455180048188, 22.871431962166252, 25.807045549616873, 25.942243542145693]"
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,320,308,40,Scribner,3,"[101, 6006, 9634, 10020, 6013, 5893]","[0.0, 9.062146544831418, 11.402740898573464, 12.733298865572896, 13.52922762023021, 15.332644912082195]"
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,100,10,0,Clarity Press,4,"[102, 4741, 7783, 4373, 599, 746]","[0.0, 1.7732456118654292, 3.0066592756745814, 3.2410029311927504, 4.24735211631906, 4.598304035185146]"
